2026-02-26 05:10:04.440734 | TCP | 172.64.148.235:443 -> 192.168.100.46:58116
2026-02-26 05:10:04.451175 | TCP | 192.168.100.46:58116 -> 172.64.148.235:443
2026-02-26 05:10:04.463325 | TCP | 172.64.148.235:443 -> 192.168.100.46:58116
2026-02-26 05:10:05.054770 | TCP | 57.144.149.32:5222 -> 192.168.100.46:60864
2026-02-26 05:10:05.068874 | TCP | 57.144.149.32:5222 -> 192.168.100.46:60864
2026-02-26 05:10:05.076486 | TCP | 192.168.100.46:60864 -> 57.144.149.32:5222
2026-02-26 05:10:05.078691 | TCP | 192.168.100.46:60864 -> 57.144.149.32:5222
2026-02-26 05:10:05.089884 | TCP | 57.144.149.32:5222 -> 192.168.100.46:60864
2026-02-26 05:10:05.092366 | TCP | 192.168.100.46:60864 -> 57.144.149.32:5222
2026-02-26 05:10:05.126939 | TCP | 57.144.149.32:5222 -> 192.168.100.46:60864
2026-02-26 05:10:05.172171 | TCP | 192.168.100.46:60864 -> 57.144.149.32:5222
2026-02-26 05:10:05.214511 | TCP | 192.168.100.46:60864 -> 57.144.149.32:5222
2026-02-26 05:10:05.251930 | TCP | 57.144.149.32:5222 -> 192.168.100.46:60864
2026-02-26 05:10:05.765485 | TCP | 192.168.100.46:58124 -> 20.198.2.181:443
2026-02-26 05:10:05.768509 | TCP | 192.168.100.46:58125 -> 20.44.229.37:443
2026-02-26 05:10:05.974956 | TCP | 20.44.229.37:443 -> 192.168.100.46:58125
2026-02-26 05:10:05.976426 | TCP | 20.198.2.181:443 -> 192.168.100.46:58124
2026-02-26 05:10:05.978727 | TCP | 192.168.100.46:58125 -> 20.44.229.37:443
2026-02-26 05:10:05.980503 | TCP | 192.168.100.46:58124 -> 20.198.2.181:443
2026-02-26 05:10:07.227277 | UDP | 192.168.100.46:49665 -> 8.8.8.8:53
2026-02-26 05:10:07.384327 | UDP | 192.168.100.46:49665 -> 8.8.4.4:53
2026-02-26 05:10:08.025478 | UDP | 8.8.4.4:53 -> 192.168.100.46:49665
2026-02-26 05:10:08.028368 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:08.063931 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:08.065881 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:08.069303 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:08.080544 | UDP | 8.8.8.8:53 -> 192.168.100.46:49665
2026-02-26 05:10:08.109461 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:08.112594 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:08.115430 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:08.117108 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:08.136927 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:08.138987 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:08.140983 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:08.176847 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:08.178871 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:08.181540 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:08.183190 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:08.184741 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:08.186296 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:08.226250 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:08.749715 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:08.753794 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:08.756930 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:08.763379 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:08.767077 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:10.026047 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:10.029777 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:10.068807 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:10.071551 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:10.074421 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:10.076601 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:10.078893 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:10.686297 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:10.689783 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:10.695598 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:10.698932 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:10.702138 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:10.720836 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:10.724196 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:11.121109 | UDP | 192.168.100.46:63250 -> 142.250.200.164:443
2026-02-26 05:10:11.157298 | UDP | 142.250.200.164:443 -> 192.168.100.46:63250
2026-02-26 05:10:11.848583 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
